time_tick,acc_X_value,acc_Y_value,acc_Z_value
14.715078,-32.336344,-2.696267,2.025417
14.748466,-43.76293,-19.697501,-3.35709
14.7818,-31.667291,-19.332672,-5.458077
14.814846,-9.436335,-16.871494,-4.739342
14.848438,1.119928,-14.498606,-4.319444
14.881207,6.740218,-15.129351,-8.462758
14.915155,6.34965,-12.905956,-9.415983
14.948467,-0.501454,-12.895331,-10.334641
14.981803,-15.127854,-14.889024,-11.773458
15.015203,-26.415721,-16.367646,-11.8818
15.048774,-43.38164,-16.574004,-7.932124
15.081836,-29.706819,-5.73761,0.388623
15.115132,-17.905078,2.638205,3.156269
15.148373,-8.244129,12.979431,4.010132
15.181875,-0.237932,19.425151,3.875154
15.21514,2.503975,20.454096,2.810594
15.248523,-2.109367,18.780938,2.638654
15.281887,-9.619498,16.255115,3.495061
15.315214,-27.579943,3.653981,5.260099
15.348494,-41.430745,-9.848601,0.767519
15.382707,-45.628678,-19.310674,-2.315126
15.415122,-19.176295,-17.320872,-3.677625
15.44848,-3.618516,-14.736538,-2.725148
15.481893,4.468189,-13.903625,-6.454849
15.51589,9.084225,-11.968293,-7.599916
15.548482,3.974217,-13.123387,-9.251226
15.582265,-9.284148,-15.252806,-10.180958
15.615271,-21.12719,-18.203915,-10.69962
15.649544,-47.319644,-21.847272,-9.936142
15.681897,-37.866549,-11.649853,-5.818716
15.715059,-27.75323,-1.65969,0.199923
15.748097,-8.067401,13.447963,2.407306
15.781794,-1.662533,21.302871,2.717217
15.81545,0.172239,23.129412,3.432211
15.848361,-1.547907,22.596983,3.375197
15.881824,-9.350589,18.871622,3.103744
15.915156,-22.522012,9.472249,4.713902
15.948522,-36.012174,-5.157893,2.804608
15.981735,-45.415736,-19.399113,-2.019731
16.014864,-30.138538,-19.473037,-4.413868
16.048487,-11.443795,-17.741817,-3.904035
16.081745,2.60274,-16.897831,-8.214051
16.11514,6.468616,-14.796994,-8.551795
16.148203,6.756678,-13.916046,-8.875174
16.181822,-2.685343,-12.592005,-10.508676
16.215251,-18.305822,-15.180229,-11.407431
16.250691,-38.768746,-20.835835,-10.619412
16.282103,-43.808871,-13.848557,-6.908416
16.31501,-26.581675,-2.180597,0.70392
16.348557,-12.757061,7.805975,2.157702
16.381798,-3.975564,19.323992,3.316387
16.415687,1.552695,22.246968,4.72767
16.448372,-1.072192,20.998946,4.44679
16.48177,-6.761467,18.093179,3.144148
16.515187,-16.553353,12.106414,3.212385
16.548018,-31.291388,-3.940997,1.238744
16.581784,-36.853317,-13.975903,-3.01351
16.615725,-34.296218,-17.603248,-7.620567
16.6477,-11.049934,-17.124391,-4.015668
16.681812,-0.663068,-17.308601,-5.282396
16.715229,3.087882,-15.441207,-7.842936
16.748551,5.193059,-15.416216,-9.53031
16.781899,-4.416113,-13.645491,-11.401146
16.815151,-13.279465,-12.029647,-10.97227
16.84883,-23.23536,-13.336479,-9.969812
16.881892,-38.745103,-14.41316,-6.771044
16.915116,-28.611582,-8.656396,-0.865984
16.94843,-16.415532,1.242336,1.459318
16.98194,-5.200691,13.182047,1.840758
17.01526,-0.500855,16.742951,2.458634
17.048613,2.102932,17.92094,3.98574
17.081946,-2.182093,16.6596,3.836845
17.114882,-11.964103,12.923165,4.584012
17.149083,-27.09106,1.642481,4.461455
17.18191,-33.506702,-12.475583,1.370729
17.215596,-33.433676,-17.33434,-6.518297
17.248435,-17.83729,-15.642925,-5.755268
17.282228,-5.18034,-14.670396,-2.719312
17.315355,0.383385,-12.557587,-2.634165
17.348615,5.614753,-12.505212,-4.287719
17.381964,7.612935,-12.616098,-8.210908
17.415376,-0.076318,-11.069987,-10.749751
17.448896,-17.319525,-16.042921,-9.598099
17.481931,-30.731573,-20.442573,-8.141325
17.515132,-39.065788,-15.534285,-5.260698
17.548901,-24.840879,-4.496022,1.581127
17.581989,-14.229697,5.391785,3.666701
17.615298,-5.608618,15.159878,5.272071
17.648702,2.509512,19.02321,5.479775
17.681958,1.255953,19.809584,5.56133
17.715258,-5.757662,17.666397,4.563811
17.74842,-15.853323,11.411921,4.28727
17.78202,-32.01536,-5.587368,3.148937
17.816013,-37.702092,-15.253704,0.096969
17.848664,-31.15641,-16.626379,-4.232052
17.881926,-10.593523,-14.778588,-3.869617
17.914888,-1.193851,-16.71796,-5.840115
17.948585,2.778271,-15.804839,-9.312879
17.981927,5.478877,-15.061413,-10.290497
18.015286,-3.5624,-14.092774,-12.234957
18.048724,-16.402363,-13.07206,-12.843555
18.081716,-27.713724,-14.793552,-10.3517
18.115344,-35.227596,-9.30001,-3.995916
18.148669,-25.412365,-5.236306,0.237633
18.18196,-15.406789,2.091111,2.250181
18.215266,-3.745413,13.690833,4.447239
18.248664,2.537495,17.451959,5.096091
18.290509,-0.996323,19.690468,2.892299
18.315245,-6.477145,17.876496,1.383599
18.348626,-14.32083,11.093481,2.235366
18.381187,-29.066945,-2.035443,0.838001
18.415259,-40.316653,-14.555769,-2.474496
18.448653,-28.430963,-18.282328,-6.180403
18.481958,-8.797509,-18.365978,-2.722903
18.515246,-0.661272,-16.63012,-3.322223
18.548694,5.157145,-13.476545,-7.777991
18.58201,7.621315,-11.914272,-9.866109
18.615253,0.493971,-10.924384,-12.680294
18.64862,-13.165287,-11.258537,-13.610325
18.681907,-35.182853,-16.555298,-11.70552
18.715277,-40.437415,-10.235428,-6.671232
18.748445,-25.8589,-3.006028,-0.731604
18.781922,-11.468635,6.129076,3.849415
18.815222,-3.695433,13.877887,6.024924
18.848545,2.335029,16.371836,6.249538
18.881932,1.088652,17.155067,5.678052
18.915206,-4.709862,16.610816,4.535678
18.948536,-13.46996,13.314481,3.439693
18.981874,-27.798721,1.678395,1.808435
19.014345,-37.147215,-13.488067,-5.136045
19.048301,-31.226293,-14.695985,-9.070757
19.081886,-17.347658,-16.582234,-7.581061
19.115221,-3.069326,-17.772195,-4.712705
19.148155,2.374235,-15.75007,-5.797916
19.181948,6.451706,-14.603655,-8.031636
19.215328,1.974688,-12.483364,-12.180337
19.248187,-12.860315,-10.642307,-13.795583
19.282368,-25.156775,-13.152119,-13.019086
19.315268,-38.308145,-12.875578,-8.892233
19.347734,-28.501145,-5.25561,-0.566997
19.381925,-15.771918,2.207233,2.506519
19.415318,-6.94867,10.369358,4.401598
19.448763,3.153276,17.890413,5.499079
19.482331,3.202958,19.278052,5.775769
19.515346,-5.335968,17.827712,3.769057
19.548668,-21.136767,7.147995,1.633053
19.58193,-28.202308,-5.689275,-0.224614
19.615665,-34.292178,-14.423186,-2.217858
19.648312,-31.025921,-16.54198,-3.136965
19.682111,-8.836117,-15.035375,-1.849288
19.715326,-1.089401,-15.255051,-3.076509
19.748389,2.622792,-14.704365,-5.031894
19.781921,6.882229,-15.642327,-10.032512
19.815083,-1.036726,-12.435628,-13.509616
19.848668,-13.283355,-14.944691,-13.8722
19.882289,-23.607671,-17.209986,-10.760525
19.915271,-40.072286,-15.656992,-6.481635
19.948987,-32.482994,-8.048247,-0.123904
19.981928,-17.8328,1.126811,2.479883
20.014591,-4.760591,14.036957,3.395847
20.04873,1.78524,19.112547,4.565457
20.081931,2.109666,21.048328,6.243553
20.115306,-7.168196,17.697224,4.815809
20.148379,-19.647371,8.624671,4.221428
20.181926,-31.932308,-4.03602,2.864465
20.215669,-29.920359,-13.986677,-0.172987
20.24862,-30.681443,-18.040505,-6.852899
20.281973,-12.720698,-15.867839,-7.369017
20.314983,-3.961947,-14.082,-4.380049
20.348638,4.651501,-13.919488,-6.648786
20.381925,7.544997,-10.648143,-7.666507
20.415391,5.428448,-10.025778,-9.275618
20.448695,-11.164561,-12.206525,-11.396956
20.48223,-21.147092,-14.21593,-11.272454
20.515275,-35.527779,-16.959634,-9.236412
20.548833,-36.945048,-12.791629,-0.93452
20.581931,-19.568359,-2.451002,1.692611
20.615262,-7.953223,8.176341,3.085937
20.648651,-1.260293,14.856103,5.652014
20.681948,2.527619,17.740171,6.029414
20.715327,-2.031553,17.920491,4.888835
20.748193,-8.21031,14.277134,4.01103
20.781998,-23.793378,2.162041,1.404848
20.815104,-36.935171,-12.548459,-2.557548
20.848978,-36.963454,-18.417455,-4.919961
20.881975,-18.221722,-15.589503,-5.591558
